Entity,Code,Year,Deforestation
Africa,,2010,4444000
Algeria,DZA,2010,1400
Argentina,ARG,2010,242400
Aruba,ABW,2010,0
Asia,,2010,2925000
Australia,AUS,2010,416840
Austria,AUT,2010,5800
Azerbaijan,AZE,2010,81640
Bahrain,BHR,2010,0
Bangladesh,BGD,2010,18190
Belarus,BLR,2010,4100
Belgium,BEL,2010,1810
Belize,BLZ,2010,11710
Bhutan,BTN,2010,340
Bolivia,BOL,2010,190690
Brazil,BRA,2010,1867800
Bulgaria,BGR,2010,0
Burundi,BDI,2010,0
Cameroon,CMR,2010,58000
Canada,CAN,2010,41300
Cape Verde,CPV,2010,1900
Cayman Islands,CYM,2010,0
Central African Republic,CAF,2010,30000
Chile,CHL,2010,11270
China,CHN,2010,329970
Colombia,COL,2010,143170
Congo,COG,2010,12000
Costa Rica,CRI,2010,0
Croatia,HRV,2010,90
Cuba,CUB,2010,0
Denmark,DNK,2010,260
Djibouti,DJI,2010,0
Dominican Republic,DOM,2010,18490
Ecuador,ECU,2010,96130
El Salvador,SLV,2010,4500
Equatorial Guinea,GNQ,2010,8360
Estonia,EST,2010,11230
Ethiopia,ETH,2010,92000
Europe,,2010,201000
Falkland Islands,FLK,2010,0
Faroe Islands,FRO,2010,0
Finland,FIN,2010,540
French Guyana,,2010,5650
Gabon,GAB,2010,19250
Georgia,GEO,2010,0
Germany,DEU,2010,7000
Gibraltar,GIB,2010,0
Greenland,GRL,2010,0
Guadeloupe,GLP,2010,260
Guatemala,GTM,2010,27360
Guyana,GUY,2010,11690
Honduras,HND,2010,24400
Hungary,HUN,2010,1550
Iceland,ISL,2010,0
India,IND,2010,668400
Iraq,IRQ,2010,0
Ireland,IRL,2010,620
Isle of Man,IMN,2010,0
Italy,ITA,2010,3690
Jamaica,JAM,2010,620
Kuwait,KWT,2010,0
Kyrgyzstan,KGZ,2010,0
Latvia,LVA,2010,310
Liberia,LBR,2010,30260
Liechtenstein,LIE,2010,210
Lithuania,LTU,2010,140
Malawi,MWI,2010,42000
Maldives,MDV,2010,0
Mali,MLI,2010,79000
Martinique,MTQ,2010,160
Mauritania,MRT,2010,42790
Mauritius,MUS,2010,100
Mayotte,MYT,2010,60
Mexico,MEX,2010,211610
Moldova,MDA,2010,930
Monaco,MCO,2010,0
Mongolia,MNG,2010,1520
Montenegro,MNE,2010,28200
Morocco,MAR,2010,8720
Mozambique,MOZ,2010,267030
Myanmar,MMR,2010,309870
Nauru,NRU,2010,0
Nepal,NPL,2010,0
Netherlands,NLD,2010,4520
New Zealand,NZL,2010,8610
Nicaragua,NIC,2010,61150
Niger,NER,2010,14920
Nigeria,NGA,2010,163310
North Korea,PRK,2010,23190
Norway,NOR,2010,5980
Oceania,,2010,458000
Panama,PAN,2010,12520
Papua New Guinea,PNG,2010,30900
Paraguay,PRY,2010,414250
Peru,PER,2010,188500
Poland,POL,2010,620
Portugal,PRT,2010,39600
Qatar,QAT,2010,0
Romania,ROU,2010,110
Russia,RUS,2010,41030
San Marino,SMR,2010,0
Sao Tome and Principe,STP,2010,620
Senegal,SEN,2010,51000
Serbia,SRB,2010,90
Singapore,SGP,2010,300
Slovenia,SVN,2010,300
Somalia,SOM,2010,76750
South Africa,ZAF,2010,199000
South America,,2010,3354000
South Korea,KOR,2010,10000
Spain,ESP,2010,1980
Suriname,SUR,2010,9860
Sweden,SWE,2010,38150
Switzerland,CHE,2010,1340
Syria,SYR,2010,11940
Tanzania,TZA,2010,372000
Thailand,THA,2010,94400
Togo,TGO,2010,4960
Tokelau,TKL,2010,0
Tunisia,TUN,2010,1420
Turkey,TUR,2010,1030
Uganda,UGA,2010,51090
Ukraine,UKR,2010,400
United Kingdom,GBR,2010,500
United States,USA,2010,0
Uruguay,URY,2010,1830
Uzbekistan,UZB,2010,1040
Vatican,VAT,2010,0
Venezuela,VEN,2010,182270
Vietnam,VNM,2010,25860
World,OWID_WRL,2010,11801000
Zambia,ZMB,2010,189680
Zimbabwe,ZWE,2010,46070
